2	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p
69	nan	nan	1	1	16.0	16.0	16.0	1.069	-2.55803950071e-19	-4.46796644787e-18	-7.81917289434e-20	1.0	2.55618661614e-18	1.19961041155e-19	1.29969595695e-18	1.0	5125227693.32	1585759.40084	-3739726.59989	1483475.47322	5380421133.24	1162945.36422	-3498449.35545	1162885.75743	5374630938.8
70	nan	nan	1	1	16.0	16.0	16.0	1.07	2.30075324298e-19	-2.1734336031e-19	-2.22769665128e-19	1.0	8.81803649739e-18	-1.94817577868e-20	-1.90282312006e-18	1.0	5196348728.93	1592599.28184	-3760861.49648	1488483.589	5461284344.86	1154229.37045	-3514933.4043	1154170.09331	5455460069.52
71	nan	nan	1	1	16.0	16.0	16.0	1.071	3.39977849204e-19	2.02014181547e-17	-1.54609982654e-19	1.0	-1.05376192594e-18	-2.49768840322e-19	6.57320728126e-19	1.0	5267403515.06	1599505.16725	-3782007.98718	1493542.61371	5542218951.79	1145472.74354	-3531393.45335	1145412.78346	5536360627.68
72	nan	nan	1	1	16.0	16.0	16.0	1.072	-5.49406745413e-19	-2.60896735666e-18	-2.36428071402e-19	1.0	-3.70518680909e-18	-4.49350978518e-19	1.26399815043e-19	1.0	5338392138.73	1606480.32805	-3803210.89329	1498658.22682	5623224896.79	1136630.24219	-3547879.22815	1136570.67212	5617332585.87
73	nan	nan	1	1	16.0	16.0	16.0	1.073	-3.84023562461e-19	-1.20507112708e-17	-1.45477908691e-19	1.0	1.16575556344e-17	-1.31078348588e-19	4.5189207736e-19	1.0	5409314745.63	1613521.0886	-3824422.38257	1503824.01431	5704302110.54	1127756.27727	-3564338.21985	1127696.117	5698375869.89
74	nan	nan	1	1	16.0	16.0	16.0	1.074	-3.06096531314e-19	9.21955658417e-18	-1.73535875069e-19	1.0	2.25279000234e-17	5.31513174402e-20	1.57081598324e-18	1.0	5480171418.7	1620628.42325	-3845689.39897	1509043.63941	5785450539.7	1118800.82404	-3580822.09918	1118741.13459	5779490451.39
75	nan	nan	1	1	16.0	16.0	16.0	1.075	-1.4823076577e-20	7.88984720588e-19	-1.8343557264e-19	1.0	6.57064633009e-18	4.3728075902e-20	3.55918612225e-18	1.0	5550962304.07	1627798.47045	-3866960.94285	1514310.41658	5866670111.42	1109823.39168	-3597275.48683	1109763.19827	5860676258.02
76	nan	nan	1	1	16.0	16.0	16.0	1.076	-1.28854887101e-19	3.61259552004e-18	-3.07340610955e-19	1.0	-5.34615432571e-18	8.17280914982e-19	-2.48088009317e-19	1.0	5621687480.31	1635030.17408	-3888286.68733	1519626.22676	5947960777.04	1100768.53358	-3613752.51121	1100708.90594	5941933259.95
77	nan	nan	1	1	16.0	16.0	16.0	1.077	-3.23990102325e-20	2.56369344563e-17	-1.02146879483e-19	1.0	-1.35797380895e-17	6.49462512307e-19	1.31410544322e-18	1.0	5692347093.65	1642319.1999	-3909612.43021	1524983.88698	6029322460.69	1091700.91144	-3630194.90935	1091640.85554	6023261386.41
78	nan	nan	1	1	16.0	16.0	16.0	1.078	-5.4294811919e-19	-1.21754104025e-17	-1.98258649217e-20	1.0	-1.13845992671e-17	-5.05784548629e-19	-7.59087104528e-20	1.0	5762941217.8	1649662.81133	-3930991.13927	1530383.77504	6110755119.06	1082559.64447	-3646659.77115	1082500.25984	6104660605.88
